OG	n_genes	n_sepecies	1841596_4	2012493_3	2026747_106	2026747_11	2026747_12	2026747_123	2026747_124	2026747_147	2026747_149	2026747_155	2026747_166	2026747_167	2026747_168	2026747_169	2026747_172	2026747_173	2026747_174	2026747_179	2026747_182	2026747_189	2026747_193	2026747_195	2026747_196	2026747_22	2026747_25	2026747_3	2026747_36	2026747_41	2026747_43	2026747_59	2026747_65	2026747_66	2026747_7	2876572_6	2876573_6
46	2	2														JAUWKS010000075_10																JAIZWM010000008_26					
47	2	2										JAHQWT010000027_60														JAEOTE010000001_5											
48	2	2																						JAYPOQ010000008_57	JAYPQJ010000001_27												
49	2	2											JAUWJS010000090_9																		JAHLWR010000010_72						
50	2	2									JALSYK010000300_10											WAKA01000046_30															
51	2	2														JAUWKS010000040_10											JABCTZ010000033_79										
52	2	2																									JABCTZ010000003_100								SOJV01000075_3		
53	2	2																		DAOVER010000005_97											JAHLWR010000001_39						
54	2	2												JAUWEG010000040_10				DAOWEK010000074_6																			
55	2	2																						JAYPOQ010000005_67	JAYPQJ010000001_666												
56	2	2																						JAYPOQ010000005_68	JAYPQJ010000001_667												
57	2	2																						JAYPOQ010000005_69	JAYPQJ010000001_668												
58	2	2							BPTO01000024_3																						JAHLWR010000002_200						
59	2	2																											DXJV01000005_22			JAIZWM010000002_60					
60	2	2																											DXJV01000030_40			JAIZWM010000006_32					
61	2	2			JAGLRO010000043_20																DAOVHD010000090_3																
62	2	2			JAGLRO010000046_29																DAOVHD010000006_40																
63	2	2																											DXJV01000006_8			JAIZWM010000008_20					
64	2	2														JAUWKS010000030_8											JABCTZ010000037_70										
65	2	2							BPTO01000005_40																						JAHLWR010000005_86						
66	2	2								JAMOVR010000009_4									DAOWED010000090_5																		
67	2	2																					JAYNJJ010000012_1		JAYPQJ010000001_1219												
68	2	2													JAUWPI010000030_21												JABCTZ010000011_41										
69	2	2														JAUWKS010000004_1											JABCTZ010000011_21										
70	2	2		NJBF01000001_195			RDOB01000001_210																														
71	2	2																						JAYPOQ010000015_16	JAYPQJ010000001_1544												
72	2	2			JAGLRO010000157_1																										JAHLWR010000010_104						
73	2	2																											DXJV01000010_14			JAIZWM010000006_191					
74	2	2														JAUWKS010000058_11											JABCTZ010000003_212										
75	2	2														JAUWKS010000012_42											JABCTZ010000011_90										
76	2	2														JAUWKS010000002_115											JABCTZ010000019_28										
77	2	2														JAUWKS010000002_128											JABCTZ010000019_18										
78	2	2								JAMOVR010000053_10									DAOWED010000071_12																		
79	2	2																								JAEOTE010000100_31	JABCTZ010000015_28										
80	2	2														JAUWKS010000041_21															JAHLWR010000008_81						
81	2	2													JAUWPI010000009_40		DAOVPS010000112_1																				
82	2	2																											DXJV01000001_51			JAIZWM010000005_128					
83	2	2														JAUWKS010000001_91											JABCTZ010000026_165										
84	2	2							BPTO01000008_1																						JAHLWR010000001_172						
85	2	2													JAUWPI010000012_1					DAOVER010000008_1																	
86	2	2							BPTO01000009_35																						JAHLWR010000001_131						
87	2	2																											DXJV01000001_54			JAIZWM010000005_131					
88	2	2																											DXJV01000001_37			JAIZWM010000005_114					
89	2	2														JAUWKS010000100_1											JABCTZ010000036_15										
90	2	2											JAUWJS010000010_9					DAOWEK010000041_14																			
91	2	2																		DAOVER010000041_17											JAHLWR010000015_50						
92	2	2											JAUWJS010000010_18					DAOWEK010000041_5																			
93	2	2			JAGLRO010000110_6																DAOVHD010000084_10																
94	2	2									JALSYK010000009_10											WAKA01000185_10															
95	2	2							BPTO01000010_16																						JAHLWR010000008_16						
96	2	2																						JAYPOQ010000024_2	JAYPQJ010000001_1285												
97	2	2									JALSYK010000022_19											WAKA01000002_10															
98	2	2																	DAOWED010000183_10								JABCTZ010000032_230										
99	2	2																		DAOVER010000025_30													JAAFKH010000207_11				
100	2	2														JAUWKS010000027_16											JABCTZ010000032_106										
101	2	2			JAGLRO010000038_12																DAOVHD010000002_18																
102	2	2							BPTO01000007_24																						JAHLWR010000010_124						
103	2	2																											DXJV01000101_4			JAIZWM010000002_204					
104	2	2																									JABCTZ010000015_25					JAIZWM010000002_417					
105	2	2					RDOB01000002_460																		JAYPQJ010000011_29												
106	2	2											JAUWJS010000024_11																					JAAFKI010000070_28			
107	2	2														JAUWKS010000029_40											JABCTZ010000011_27										
108	2	2				RDOD01000008_108																					JABCTZ010000012_24										
109	2	2														JAUWKS010000041_9											JABCTZ010000002_12										
110	2	2																											DXJV01000101_5			JAIZWM010000002_205					
111	2	2														JAUWKS010000056_12											JABCTZ010000001_26										
112	2	2																											DXJV01000101_8			JAIZWM010000002_208					
113	2	2															DAOVPS010000004_13										JABCTZ010000015_23										
114	2	2														JAUWKS010000041_26				DAOVER010000015_30																	
115	2	2												JAUWEG010000014_10				DAOWEK010000039_52																			
116	2	2														JAUWKS010000006_61											JABCTZ010000032_184										
117	2	2														JAUWKS010000056_13											JABCTZ010000001_25										
118	2	2														JAUWKS010000056_14											JABCTZ010000001_24										
119	2	2											JAUWJS010000004_51																					JAAFKI010000014_27			
120	2	2										JAHQWT010000027_7																			JAHLWR010000001_144						
121	2	2																DAOWEK010000044_17								JAEOTE010000002_1											
122	2	2														JAUWKS010000002_144											JABCTZ010000019_8										
123	2	2				RDOD01000020_18											DAOVPS010000044_10																				
124	2	2																					JAYNJJ010000210_4		JAYPQJ010000001_876												
125	2	2														JAUWKS010000005_86																	JAAFKH010000012_1				
126	2	2			JAGLRO010000021_5																DAOVHD010000080_1																
127	2	2		NJBF01000002_115										JAUWEG010000090_9																							
128	2	2													JAUWPI010000060_1																		JAAFKH010000286_10				
129	2	2																											DXJV01000010_2			JAIZWM010000006_179					
130	2	2																	DAOWED010000062_10							JAEOTE010000108_89											
131	2	2														JAUWKS010000014_38											JABCTZ010000003_147										
132	2	2														JAUWKS010000033_10											JABCTZ010000041_7										
133	2	2																											DXJV01000041_3			JAIZWM010000001_30					
134	2	2																						JAYPOQ010000033_1	JAYPQJ010000001_555												
135	2	2														JAUWKS010000057_11		DAOWEK010000050_33																			
136	2	2																							JAYPQJ010000001_1568		JABCTZ010000039_45										
137	2	2													JAUWPI010000085_3					DAOVER010000001_16																	
138	2	2																DAOWEK010000018_5								JAEOTE010000007_138											
139	2	2										JAHQWT010000051_3								DAOVER010000009_18																	
140	2	2																		DAOVER010000016_31											JAHLWR010000008_66						
141	2	2													JAUWPI010000003_1					DAOVER010000068_1																	
142	2	2																											DXJV01000006_1			JAIZWM010000008_13					
143	2	2																DAOWEK010000010_14																JAAFKI010000094_5			
144	2	2										JAHQWT010000048_11																						JAAFKI010000060_4			
145	2	2																							JAYPQJ010000001_504					DXJL01000085_1							
146	2	2																											DXJV01000100_47			JAIZWM010000001_576					
147	2	2										JAHQWT010000048_1																			JAHLWR010000010_78						
148	2	2							BPTO01000040_7																						JAHLWR010000019_10						
149	2	2						BPTN01000050_11												DAOVER010000005_89																	
150	2	2																DAOWEK010000085_1		DAOVER010000017_60																	
151	2	2																											DXJV01000065_1			JAIZWM010000007_109					
152	2	2																											DXJV01000085_10		JAHLWR010000010_68						
153	2	2				RDOD01000008_18										JAUWKS010000001_95																					
154	2	2																											DXJV01000088_1		JAHLWR010000010_50						
155	2	2																	DAOWED010000081_7								JABCTZ010000006_71										
156	2	2							BPTO01000030_14																						JAHLWR010000002_242						
157	2	2													JAUWPI010000024_23																JAHLWR010000010_82						
158	2	2							BPTO01000002_24																						JAHLWR010000001_259						
159	2	2							BPTO01000002_55																						JAHLWR010000001_229						
160	2	2														JAUWKS010000010_22											JABCTZ010000025_78										
161	2	2													JAUWPI010000021_26					DAOVER010000003_33																	
162	2	2		NJBF01000002_31			RDOB01000004_230																														
163	2	2													JAUWPI010000030_22					DAOVER010000017_63																	
164	2	2												JAUWEG010000033_10						DAOVER010000027_2																	
165	2	2																									JABCTZ010000018_39					JAIZWM010000002_425					
166	2	2									JALSYK010000040_2											WAKA01000031_20															
167	2	2														JAUWKS010000058_2											JABCTZ010000003_215										
168	2	2														JAUWKS010000010_32											JABCTZ010000025_95										
169	2	2		NJBF01000029_60			RDOB01000002_301																														
170	2	2								JAMOVR010000002_15									DAOWED010000062_8																		
171	2	2													JAUWPI010000095_1					DAOVER010000020_29																	
172	2	2			JAGLRO010000038_35																DAOVHD010000002_41																
173	2	2					RDOB01000004_383													DAOVER010000051_20																	
174	2	2													JAUWPI010000030_23					DAOVER010000017_64																	
175	2	2														JAUWKS010000021_37																JAIZWM010000003_7					
176	2	2																											DXJV01000013_4			JAIZWM010000002_407					
177	2	2																														JAIZWM010000009_43			SOJV01000082_10		
178	2	2																		DAOVER010000016_32											JAHLWR010000008_65						
179	2	2																											DXJV01000006_13			JAIZWM010000008_25					
180	2	2							BPTO01000030_5																						JAHLWR010000006_129						
181	2	2														JAUWKS010000025_38																	JAAFKH010000100_8				
182	2	2									JALSYK010000050_3											WAKA01000108_20															
183	2	2		NJBF01000006_102			RDOB01000006_63																														
184	2	2																		DAOVER010000020_36															SOJV01000010_8		
185	2	2														JAUWKS010000091_9											JABCTZ010000003_62										
186	2	2																									JABCTZ010000026_4					JAIZWM010000007_14					
187	2	2									JALSYK010000002_1											WAKA01000046_40															
188	2	2			JAGLRO010000090_1																DAOVHD010000204_4																
189	2	2															DAOVPS010000002_45																	JAAFKI010000085_1			
190	2	2																											DXJV01000059_49			JAIZWM010000005_201					
191	2	2																									JABCTZ010000015_46					JAIZWM010000002_7					
192	2	2							BPTO01000026_10																						JAHLWR010000040_5						
193	2	2		NJBF01000004_10			RDOB01000005_2																														
194	2	2			JAGLRO010000046_16																DAOVHD010000006_27																
195	2	2																DAOWEK010000076_20		DAOVER010000016_4																	
196	2	2														JAUWKS010000108_4											JABCTZ010000006_82										
197	2	2														JAUWKS010000041_7											JABCTZ010000002_7										
198	2	2		NJBF01000002_18																										DXJL01000090_40							
199	2	2																											DXJV01000065_2			JAIZWM010000007_108					
200	2	2																			DAOVHD010000017_5						JABCTZ010000009_62										
201	2	2		NJBF01000007_60			RDOB01000007_126																														
202	2	2																											DXJV01000079_12			JAIZWM010000006_60					
203	2	2																							JAYPQJ010000001_628			PBWW01000008_6									
204	2	2							BPTO01000006_9																						JAHLWR010000016_20						
205	2	2																											DXJV01000087_92			JAIZWM010000006_170					
206	2	2																											DXJV01000006_18			JAIZWM010000008_29					
207	2	2												JAUWEG010000103_4																				JAAFKI010000094_30			
208	2	2																						JAYPOQ010000035_3	JAYPQJ010000001_549												
209	2	2																											DXJV01000073_38			JAIZWM010000001_407					
210	2	2														JAUWKS010000013_55											JABCTZ010000006_63										
211	2	2														JAUWKS010000055_3											JABCTZ010000003_81										
212	2	2														JAUWKS010000005_79											JABCTZ010000036_318										
213	2	2																					JAYNJJ010000073_6	JAYPOQ010000003_51													
214	2	2																											DXJV01000030_3			JAIZWM010000010_56					
215	2	2														JAUWKS010000030_1											JABCTZ010000037_57										
216	2	2		NJBF01000007_50			RDOB01000003_13																														
217	2	2																						JAYPOQ010000044_3	JAYPQJ010000001_559												
218	2	2													JAUWPI010000068_5																			JAAFKI010000094_103			
219	2	2																											DXJV01000030_4			JAIZWM010000010_57					
220	2	2																											DXJV01000065_6			JAIZWM010000007_103					
221	2	2			JAGLRO010000180_8																DAOVHD010000030_9																
222	2	2				RDOD01000009_8																					JABCTZ010000003_91										
223	2	2														JAUWKS010000047_9											JABCTZ010000046_10										
224	2	2									JALSYK010000050_7											WAKA01000005_1															
225	2	2																											DXJV01000006_5			JAIZWM010000008_17					
226	2	2										JAHQWT010000010_8									DAOVHD010000099_6																
227	2	2														JAUWKS010000020_22											JABCTZ010000046_286										
228	2	2										JAHQWT010000052_200																					JAAFKH010000234_4				
229	2	2		NJBF01000002_60			RDOB01000004_262																														
230	2	2																											DXJV01000059_70			JAIZWM010000005_222					
231	2	2																											DXJV01000042_4			JAIZWM010000003_203					
232	2	2																											DXJV01000020_4			JAIZWM010000002_373					
233	2	2																													JAHLWR010000008_53		JAAFKH010000230_2				
234	2	2														JAUWKS010000028_32				DAOVER010000030_6																	
235	2	2	MEHH01000002_32									JAHQWT010000008_37																									
236	2	2					RDOB01000003_286			JAMOVR010000002_9																											
237	2	2									JALSYK010000069_3											WAKA01000020_20															
238	2	2													JAUWPI010000006_9					DAOVER010000023_2																	
239	2	2																											DXJV01000059_52			JAIZWM010000005_204					
240	2	2										JAHQWT010000027_20														JAEOTE010000077_4											
241	2	2																											DXJV01000078_30			JAIZWM010000006_332					
242	2	2																											DXJV01000042_3			JAIZWM010000005_304					
243	2	2	MEHH01000002_35									JAHQWT010000008_34																									
244	2	2														JAUWKS010000003_55											JABCTZ010000036_72										
245	2	2														JAUWKS010000003_82											JABCTZ010000036_97										
246	2	2		NJBF01000007_34			RDOB01000002_406																														
247	2	2					RDOB01000002_439																								JAHLWR010000004_97						
248	2	2												JAUWEG010000005_28																			JAAFKH010000036_4				
249	2	2		NJBF01000007_35			RDOB01000002_407																														
250	2	2																											DXJV01000078_2			JAIZWM010000006_360					
251	2	2					RDOB01000008_69																				JABCTZ010000006_32										
252	2	2															DAOVPS010000099_3										JABCTZ010000026_60										
253	2	2									JALSYK010000076_2											WAKA01000080_30															
254	2	2																											DXJV01000062_64			JAIZWM010000009_40					
255	2	2														JAUWKS010000068_4											JABCTZ010000027_40										
256	2	2																											DXJV01000004_6			JAIZWM010000005_289					
257	2	2										JAHQWT010000055_57						DAOWEK010000050_2																			
258	2	2																			DAOVHD010000060_8													JAAFKI010000062_7			
259	2	2																						JAYPOQ010000008_30				PBWW01000043_3									
260	2	2														JAUWKS010000003_66											JABCTZ010000036_83										
261	2	2																					JAYNJJ010000054_8		JAYPQJ010000006_7												
262	2	2														JAUWKS010000005_85																		JAAFKI010000099_5			
263	2	2									JALSYK010000118_10											WAKA01000100_11															
264	2	2																								JAEOTE010000111_10							JAAFKH010000043_21				
265	2	2		NJBF01000001_141			RDOB01000001_155																														
266	2	2																							JAYPQJ010000001_1177			PBWW01000012_27									
267	2	2																											DXJV01000101_19			JAIZWM010000002_219					
268	2	2																					JAYNJJ010000215_3		JAYPQJ010000001_118												
269	2	2																					JAYNJJ010000257_1		JAYPQJ010000001_1419												
270	2	2																											DXJV01000091_11			JAIZWM010000002_471					
271	2	2														JAUWKS010000012_49											JABCTZ010000011_81										
272	2	2							BPTO01000112_9																						JAHLWR010000001_140						
273	2	2																			DAOVHD010000016_1												JAAFKH010000129_10				
274	2	2																						JAYPOQ010000011_19				PBWW01000002_16									
275	2	2									JALSYK010000310_40												JAYNJJ010000151_1														
276	2	2									JALSYK010000307_11											WAKA01000060_11															
277	2	2									JALSYK010000030_1											WAKA01000181_10															
278	2	2																											DXJV01000097_11			JAIZWM010000001_14					
279	2	2														JAUWKS010000075_11											JABCTZ010000017_176										
280	2	2									JALSYK010000101_5											WAKA01000106_10															
281	2	2																											DXJV01000068_11			JAIZWM010000001_781					
282	2	2									JALSYK010000001_1											WAKA01000067_11															
283	2	2											JAUWJS010000110_1								DAOVHD010000068_1																
284	2	2																DAOWEK010000026_22																JAAFKI010000112_107			
285	2	2				RDOD01000005_111	RDOB01000002_522																														
286	2	2														JAUWKS010000022_11											JABCTZ010000046_133										
287	2	2																							JAYPQJ010000013_11		JABCTZ010000022_35										
288	2	2														JAUWKS010000021_45											JABCTZ010000011_23										
289	2	2									JALSYK010000325_10											WAKA01000100_21															
290	2	2									JALSYK010000325_11											WAKA01000100_20															
291	2	2	MEHH01000064_10																															JAAFKI010000112_205			
292	2	2																					JAYNJJ010000147_2		JAYPQJ010000001_1288												
293	2	2																	DAOWED010000110_1															JAAFKI010000092_52			
294	2	2								JAMOVR010000210_1									DAOWED010000205_1																		
295	2	2																								JAEOTE010000176_2					JAHLWR010000002_116						
296	2	2				RDOD01000001_82																					JABCTZ010000017_12										
297	2	2									JALSYK010000201_2											WAKA01000001_17															
298	2	2															DAOVPS010000207_1		DAOWED010000021_1																		
299	2	2														JAUWKS010000043_12											JABCTZ010000017_13										
300	2	2											JAUWJS010000057_12				DAOVPS010000103_14																				
301	2	2																											DXJV01000091_51			JAIZWM010000002_431					
302	2	2														JAUWKS010000011_23											JABCTZ010000046_81										
303	2	2														JAUWKS010000012_43											JABCTZ010000011_88										
304	2	2	MEHH01000059_11									JAHQWT010000052_103																									
305	2	2														JAUWKS010000018_15											JABCTZ010000036_129										
306	2	2																									JABCTZ010000011_25		DXJV01000100_36								
307	2	2								JAMOVR010000362_11									DAOWED010000010_7																		
308	2	2		NJBF01000006_103																										DXJL01000101_2							
309	2	2																					JAYNJJ010000138_7	JAYPOQ010000002_171													
310	2	2																					JAYNJJ010000117_2		JAYPQJ010000001_379												
311	2	2		NJBF01000007_20			RDOB01000011_13																														
312	2	2									JALSYK010000201_3											WAKA01000001_18															
313	2	2															DAOVPS010000054_14										JABCTZ010000018_12										
314	2	2																											DXJV01000084_41			JAIZWM010000001_128					
315	2	2				RDOD01000045_11											DAOVPS010000002_15																				
316	2	2		NJBF01000015_11			RDOB01000002_470																														
317	2	2														JAUWKS010000075_12											JABCTZ010000017_175										
318	2	2				RDOD01000018_51											DAOVPS010000025_10																				
319	2	2							BPTO01000105_12																						JAHLWR010000009_15						
320	2	2														JAUWKS010000005_112	DAOVPS010000169_9																				
321	2	2									JALSYK010000061_1											WAKA01000005_12															
322	2	2														JAUWKS010000075_21											JABCTZ010000017_177										
323	2	2									JALSYK010000011_20											WAKA01000180_5															
324	2	2									JALSYK010000076_11											WAKA01000080_21															
325	2	2							BPTO01000120_6																						JAHLWR010000001_81						
326	2	2														JAUWKS010000001_43																			SOJV01000130_31		
327	2	2													JAUWPI010000089_13					DAOVER010000011_63																	
328	2	2											JAUWJS010000073_11		JAUWPI010000013_7																						
329	2	2									JALSYK010000413_10											WAKA01000048_10															
330	2	2							BPTO01000011_30																						JAHLWR010000014_84						
331	2	2												JAUWEG010000037_14																			JAAFKH010000015_15				
332	2	2		NJBF01000003_10																										DXJL01000146_10							
333	2	2												JAUWEG010000048_18																			JAAFKH010000109_13				
334	2	2																							JAYPQJ010000001_1561			PBWW01000037_6									
335	2	2	MEHH01000011_3									JAHQWT010000050_81																									
336	2	2		NJBF01000018_51			RDOB01000003_10																														
337	2	2								JAMOVR010000108_1									DAOWED010000037_1																		
338	2	2									JALSYK010000091_1											WAKA01000030_1															
339	2	2																			DAOVHD010000045_11												JAAFKH010000048_1				
340	2	2							BPTO01000006_15																						JAHLWR010000016_14						
341	2	2																											DXJV01000084_71			JAIZWM010000001_159					
342	2	2																		DAOVER010000091_4											JAHLWR010000016_17						
343	2	2														JAUWKS010000071_4											JABCTZ010000019_177										
344	2	2															DAOVPS010000158_9										JABCTZ010000001_15										
345	2	2									JALSYK010000085_1											WAKA01000015_10															
346	2	2									JALSYK010000050_1											WAKA01000108_18															
347	2	2									JALSYK010000608_1										DAOVHD010000066_11																
348	2	2	MEHH01000097_1									JAHQWT010000010_1																									
349	2	2																											DXJV01000101_24			JAIZWM010000002_224					
350	2	2																			DAOVHD010000023_11					JAEOTE010000092_32											
351	2	2				RDOD01000023_10						JAHQWT010000027_21																									
352	2	2																					JAYNJJ010000005_11					PBWW01000022_24									
353	2	2												JAUWEG010000002_41																				JAAFKI010000182_72			
354	2	2							BPTO01000242_2																						JAHLWR010000010_108						
355	2	2																											DXJV01000091_31			JAIZWM010000002_452					
356	2	2																											DXJV01000091_32			JAIZWM010000002_451					
357	2	2		NJBF01000007_17								JAHQWT010000052_213																									
358	2	2																											DXJV01000015_29			JAIZWM010000002_173					
359	2	2																					JAYNJJ010000183_2		JAYPQJ010000001_952												
360	2	2									JALSYK010000307_12											WAKA01000060_12															
361	2	2																											DXJV01000021_32			JAIZWM010000007_61					
362	2	2																											DXJV01000029_121			JAIZWM010000003_78					
363	2	2							BPTO01000024_19																						JAHLWR010000002_184						
364	2	2									JALSYK010000020_4											WAKA01000140_21															
365	2	2							BPTO01000024_17																						JAHLWR010000002_186						
366	2	2													JAUWPI010000069_17					DAOVER010000021_24																	
367	2	2																								JAEOTE010000104_2							JAAFKH010000170_2				
368	2	2											JAUWJS010000157_5	JAUWEG010000021_20																							
369	2	2														JAUWKS010000068_11				DAOVER010000027_25																	
370	2	2									JALSYK010000001_2											WAKA01000067_12															
371	2	2														JAUWKS010000017_36											JABCTZ010000032_316										
372	2	2															DAOVPS010000040_14																		SOJV01000023_13		
373	2	2																											DXJV01000045_31			JAIZWM010000002_318					
374	2	2																							JAYPQJ010000001_323			PBWW01000045_1									
375	2	2														JAUWKS010000018_27											JABCTZ010000036_143										
376	2	2																									JABCTZ010000033_60		DXJV01000041_12								
377	2	2																											DXJV01000013_19			JAIZWM010000002_394					
378	2	2			JAGLRO010000073_13																DAOVHD010000027_17																
379	2	2			JAGLRO010000073_17																DAOVHD010000027_13																
380	2	2	MEHH01000083_10									JAHQWT010000013_2																									
381	2	2														JAUWKS010000018_42											JABCTZ010000036_154										
382	2	2							BPTO01000034_14																						JAHLWR010000020_18						
383	2	2																											DXJV01000029_114			JAIZWM010000003_85					
384	2	2			JAGLRO010000086_13																DAOVHD010000042_16																
385	2	2																											DXJV01000091_13			JAIZWM010000002_469					
386	2	2																			DAOVHD010000023_14					JAEOTE010000087_1											
387	2	2		NJBF01000042_10																										DXJL01000039_10							
388	2	2									JALSYK010000360_10											WAKA01000052_15															
389	2	2							BPTO01000051_7																						JAHLWR010000003_152						
390	2	2									JALSYK010000602_5											WAKA01000013_10															
391	2	2															DAOVPS010000010_5																		SOJV01000209_13		
392	2	2				RDOD01000017_30																													SOJV01000200_16		
393	2	2									JALSYK010000071_7											WAKA01000203_10															
394	2	2							BPTO01000071_2																						JAHLWR010000030_19						
395	2	2		NJBF01000002_138			RDOB01000008_1																														
396	2	2									JALSYK010000328_1											WAKA01000090_10															
397	2	2																											DXJV01000084_159			JAIZWM010000001_244					
398	2	2															DAOVPS010000005_14																		SOJV01000147_20		
399	2	2							BPTO01000001_14																						JAHLWR010000025_48						
400	2	2										JAHQWT010000012_148																					JAAFKH010000084_6				
401	2	2							BPTO01000049_14																						JAHLWR010000001_29						
402	2	2																											DXJV01000041_4			JAIZWM010000001_29					
403	2	2														JAUWKS010000051_5											JABCTZ010000025_14										
404	2	2																		DAOVER010000050_7													JAAFKH010000146_12				
405	2	2															DAOVPS010000001_4																		SOJV01000062_15		
406	2	2		NJBF01000020_51			RDOB01000004_61																														
407	2	2																											DXJV01000021_15			JAIZWM010000007_47					
408	2	2									JALSYK010000050_4											WAKA01000108_21															
409	2	2																											DXJV01000041_9			JAIZWM010000001_25					
410	2	2		NJBF01000004_1			RDOB01000005_12																														
411	2	2																											DXJV01000041_8			JAIZWM010000001_26					
412	2	2				RDOD01000027_19										JAUWKS010000010_49																					
413	2	2							BPTO01000120_4																						JAHLWR010000001_79						
414	2	2										JAHQWT010000052_58																						JAAFKI010000179_10			
415	2	2																								JAEOTE010000102_5									SOJV01000010_5		
416	2	2		NJBF01000012_10																										DXJL01000006_5							
417	2	2									JALSYK010000087_5											WAKA01000120_10															
418	2	2									JALSYK010000150_12											WAKA01000009_7															
419	2	2									JALSYK010000050_2											WAKA01000108_19															
420	2	2						BPTN01000006_1							JAUWPI010000029_18																						
421	2	2		NJBF01000029_8			RDOB01000007_110																														
422	2	2									JALSYK010000007_2											WAKA01000108_1															
423	2	2																											DXJV01000019_31			JAIZWM010000003_344					
424	2	2																											DXJV01000033_15			JAIZWM010000010_37					
425	2	2									JALSYK010000143_3											WAKA01000050_10															
426	2	2																											DXJV01000036_16			JAIZWM010000001_634					
427	2	2														JAUWKS010000011_33											JABCTZ010000046_69										
428	2	2				RDOD01000006_116	RDOB01000003_439																														
429	2	2																		DAOVER010000003_31	DAOVHD010000164_8																
430	2	2		NJBF01000041_10			RDOB01000003_386																														
431	2	2				RDOD01000003_39																					JABCTZ010000019_174										
432	2	2				RDOD01000059_10																					JABCTZ010000033_81										
433	2	2											JAUWJS010000130_6					DAOWEK010000076_13																			
434	2	2									JALSYK010000473_10											WAKA01000054_10															
435	2	2														JAUWKS010000011_38											JABCTZ010000046_64										
436	2	2														JAUWKS010000064_3											JABCTZ010000041_81										
437	2	2																		DAOVER010000049_7													JAAFKH010000031_14				
438	2	2		NJBF01000009_37			RDOB01000004_141																														
439	2	2											JAUWJS010000041_1		JAUWPI010000043_8																						
440	2	2			JAGLRO010000054_5																DAOVHD010000031_17																
441	2	2														JAUWKS010000011_37											JABCTZ010000046_65										
442	2	2									JALSYK010000061_3											WAKA01000005_14															
